MSOA21CD,provider_code,provider_name
E02003072,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003073,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003074,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003075,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003076,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003077,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003078,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003079,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003080,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003081,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003082,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003084,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003085,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
E02003086,RA7,University Hospitals Bristol and Weston NHS Foundation Trust
